TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.apache.commons.lang.time.DurationFormatUtils,BRANCH,0.9225806451612903,155,143
org.apache.commons.lang.enums.ValuedEnum,BRANCH,0.11764705882352941,17,2
org.apache.commons.lang.time.DateUtils,BRANCH,0.9805825242718447,206,202
org.apache.commons.collections4.IteratorUtils,BRANCH,0.0,170,0
org.apache.commons.collections4.IteratorUtils,BRANCH,0.0,170,0
org.apache.commons.math3.fraction.BigFraction,BRANCH,0.9781021897810219,137,134
org.apache.commons.math3.fraction.Fraction,BRANCH,0.9830508474576272,118,114
org.apache.commons.math3.distribution.HypergeometricDistribution,BRANCH,1.0,38,38
org.apache.commons.math3.util.MathArrays,BRANCH,0.9922178988326849,257,255
org.apache.commons.math3.geometry.euclidean.threed.SubLine,BRANCH,1.0,18,18
org.apache.commons.math3.geometry.euclidean.twod.SubLine,BRANCH,1.0,39,39
org.apache.commons.math3.complex.Complex,BRANCH,0.994535519125683,183,180
org.apache.commons.math3.optim.BaseOptimizer,BRANCH,0.8823529411764706,17,15
org.apache.commons.math3.optim.nonlinear.scalar.gradient.NonLinearConjugateGradientOptimizer,BRANCH,0.2631578947368421,57,15
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer,BRANCH,0.1015625,256,27
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.PowellOptimizer,BRANCH,0.29545454545454547,44,13
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.SimplexOptimizer,BRANCH,0.5333333333333333,30,16
org.apache.commons.math3.optim.nonlinear.vector.jacobian.GaussNewtonOptimizer,BRANCH,0.21428571428571427,28,6
org.apache.commons.math3.optim.nonlinear.vector.jacobian.LevenbergMarquardtOptimizer,BRANCH,0.03317535545023697,211,7
org.apache.commons.math3.ode.AbstractIntegrator,BRANCH,0.8589743589743589,78,67
org.apache.commons.math3.distribution.DiscreteDistribution,BRANCH,0.9615384615384616,26,25
org.apache.commons.math3.geometry.euclidean.threed.Line,BRANCH,1.0,27,27
org.apache.commons.math3.analysis.differentiation.DSCompiler,BRANCH,0.9355932203389831,295,259
org.apache.commons.math3.distribution.MultivariateNormalDistribution,BRANCH,1.0,31,31
org.apache.commons.math3.random.BitsStreamGenerator,BRANCH,1.0,20,20
org.apache.commons.math3.optimization.general.AbstractLeastSquaresOptimizer,BRANCH,0.0,39,0
org.apache.commons.math3.optim.nonlinear.vector.jacobian.AbstractLeastSquaresOptimizer,BRANCH,0.7391304347826086,23,17
org.apache.commons.math3.optim.nonlinear.vector.Weight,BRANCH,1.0,4,4
org.apache.commons.math3.util.FastMath,BRANCH,0.936144578313253,830,777
org.apache.commons.math3.util.FastMath,BRANCH,0.9337349397590361,830,775
org.apache.commons.math3.dfp.Dfp,BRANCH,0.2059186189889026,811,167
org.apache.commons.math3.optimization.direct.CMAESOptimizer,BRANCH,0.7172413793103448,290,208
org.apache.commons.math3.optimization.direct.CMAESOptimizer,BRANCH,0.8,290,232
org.apache.commons.math3.optimization.direct.CMAESOptimizer,BRANCH,0.7307692307692307,286,209
org.apache.commons.math3.linear.RectangularCholeskyDecomposition,BRANCH,1.0,30,30
org.apache.commons.math3.distribution.FDistribution,BRANCH,1.0,23,23
org.apache.commons.math3.distribution.UniformRealDistribution,BRANCH,1.0,22,22
org.apache.commons.math3.optimization.univariate.BrentOptimizer,BRANCH,0.9466666666666667,75,71
org.apache.commons.math3.optimization.univariate.BrentOptimizer,BRANCH,0.9866666666666667,75,74
org.apache.commons.math3.optimization.fitting.HarmonicFitter,BRANCH,0.9705882352941176,34,33
org.apache.commons.math3.fraction.Fraction,BRANCH,0.9824561403508771,114,111
org.apache.commons.math3.fraction.Fraction,BRANCH,0.9824561403508771,114,111
org.apache.commons.math3.optimization.linear.SimplexSolver,BRANCH,0.9814814814814815,54,53
org.apache.commons.math3.linear.OpenMapRealVector,BRANCH,1.0,171,171
org.apache.commons.math3.stat.inference.MannWhitneyUTest,BRANCH,1.0,15,15
org.apache.commons.math3.util.ContinuedFraction,BRANCH,0.0,20,0
org.apache.commons.math3.geometry.euclidean.twod.PolygonsSet,BRANCH,0.8947368421052632,95,85
org.apache.commons.math3.optimization.linear.SimplexTableau,BRANCH,0.9863013698630136,146,144
org.apache.commons.math3.genetics.ListPopulation,BRANCH,0.896551724137931,29,26
org.apache.commons.math3.genetics.ElitisticListPopulation,BRANCH,1.0,9,9
org.apache.commons.math.fraction.BigFraction,BRANCH,0.9847328244274809,131,129
org.apache.commons.math.complex.Complex,BRANCH,0.994535519125683,183,181
org.apache.commons.math.optimization.direct.BOBYQAOptimizer,BRANCH,0.09216589861751152,651,60
org.apache.commons.math.ode.nonstiff.EmbeddedRungeKuttaIntegrator,BRANCH,0.9032258064516129,62,56
org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolver,BRANCH,0.9868421052631579,76,75
org.apache.commons.math.stat.descriptive.moment.Variance,BRANCH,0.8983050847457628,59,53
org.apache.commons.math.optimization.linear.SimplexTableau,BRANCH,0.9657534246575342,146,141
org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream,BRANCH,0.8350515463917526,97,81
org.apache.commons.math.stat.descriptive.SummaryStatistics,BRANCH,1.0,91,91
org.apache.commons.jxpath.ri.model.dom.DOMNodePointer,BRANCH,0.6925566343042071,309,214
org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream,BRANCH,0.8762886597938144,97,85
org.apache.commons.math.ode.AbstractIntegrator,BRANCH,0.8208955223880597,67,55
org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer,BRANCH,0.3633440514469453,311,112
org.apache.commons.compress.archivers.ar.ArArchiveInputStream,BRANCH,0.3728813559322034,59,22
org.apache.commons.jxpath.ri.compiler.Expression,BRANCH,0.8695652173913043,23,20
org.apache.commons.math.linear.OpenMapRealMatrix,BRANCH,0.875,32,28
org.apache.commons.compress.archivers.tar.TarArchiveOutputStream,BRANCH,0.7297297297297297,37,27
org.apache.commons.jxpath.ri.model.beans.NullPropertyPointer,BRANCH,0.9056603773584906,53,48
org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream,BRANCH,0.8681318681318682,91,79
org.apache.commons.compress.archivers.tar.TarArchiveOutputStream,BRANCH,0.5675675675675675,37,21
org.apache.commons.math.complex.Complex,BRANCH,0.9936305732484076,157,151
org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream,BRANCH,0.6412213740458015,131,84
org.apache.commons.jxpath.ri.model.dom.DOMNodePointer,BRANCH,0.7081967213114754,305,216
org.apache.commons.compress.changes.ChangeSetPerformer,BRANCH,0.2692307692307692,52,14
org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer,BRANCH,0.5286624203821656,314,166
org.apache.commons.math.complex.Complex,BRANCH,0.9937888198757764,161,156
org.apache.commons.compress.archivers.zip.ZipArchiveInputStream,BRANCH,0.29292929292929293,99,29
org.apache.commons.jxpath.ri.model.NodePointer,BRANCH,0.740506329113924,158,117
org.apache.commons.math.analysis.solvers.BaseSecantSolver,BRANCH,0.9571428571428572,70,67
org.apache.commons.compress.archivers.zip.ZipArchiveEntry,BRANCH,0.9615384615384616,78,75
org.apache.commons.jxpath.ri.compiler.CoreOperationCompare,BRANCH,0.9104477611940298,67,61
org.apache.commons.compress.archivers.tar.TarUtils,BRANCH,1.0,41,41
org.apache.commons.jxpath.ri.compiler.CoreOperationGreaterThan,BRANCH,1.0,4,4
org.apache.commons.jxpath.ri.compiler.CoreOperationGreaterThanOrEqual,BRANCH,1.0,4,4
org.apache.commons.jxpath.ri.compiler.CoreOperationLessThan,BRANCH,1.0,4,4
org.apache.commons.math.linear.OpenMapRealVector,BRANCH,1.0,182,182
org.apache.commons.jxpath.ri.compiler.CoreOperationLessThanOrEqual,BRANCH,1.0,4,4
org.apache.commons.compress.archivers.tar.TarUtils,BRANCH,1.0,52,51
org.apache.commons.jxpath.ri.compiler.CoreOperationRelationalExpression,BRANCH,0.45714285714285713,35,16
org.apache.commons.math.analysis.solvers.BaseSecantSolver,BRANCH,0.9558823529411765,68,65
org.apache.commons.jxpath.ri.compiler.CoreOperationRelationalExpression,BRANCH,0.6410256410256411,39,25
org.apache.commons.compress.archivers.tar.TarArchiveOutputStream,BRANCH,0.84,50,42
org.apache.commons.jxpath.ri.compiler.CoreOperationCompare,BRANCH,0.9411764705882353,68,64
org.apache.commons.jxpath.ri.compiler.CoreOperationEqual,BRANCH,1.0,2,2
org.apache.commons.jxpath.ri.compiler.CoreOperationNotEqual,BRANCH,1.0,2,2
org.apache.commons.compress.archivers.zip.ZipFile,BRANCH,0.13333333333333333,135,18
org.apache.commons.math.analysis.solvers.BaseSecantSolver,BRANCH,0.9571428571428572,70,67
org.apache.commons.jxpath.ri.compiler.CoreOperationRelationalExpression,BRANCH,0.8974358974358975,39,35
org.apache.commons.jxpath.ri.model.dom.DOMAttributeIterator,BRANCH,0.864406779661017,59,51
org.apache.commons.compress.archivers.ArchiveStreamFactory,BRANCH,0.8571428571428571,49,42
org.apache.commons.math.geometry.euclidean.threed.Rotation,BRANCH,0.9925373134328358,134,132
org.apache.commons.jxpath.ri.model.jdom.JDOMAttributeIterator,BRANCH,0.8378378378378378,37,31
org.apache.commons.compress.archivers.tar.TarArchiveInputStream,BRANCH,0.2903225806451613,124,36
org.apache.commons.math.complex.Complex,BRANCH,0.9922480620155039,129,125
org.apache.commons.jxpath.ri.model.dom.DOMNodePointer,BRANCH,0.7813504823151125,311,243
org.apache.commons.compress.archivers.zip.ZipArchiveEntry,BRANCH,0.9701492537313433,134,130
org.apache.commons.jxpath.ri.NamespaceResolver,BRANCH,0.8372093023255814,43,36
org.apache.commons.math.dfp.Dfp,BRANCH,0.21773142112125163,767,167
org.apache.commons.compress.archivers.tar.TarUtils,BRANCH,1.0,66,66
org.apache.commons.jxpath.ri.model.dom.DOMNodePointer,BRANCH,0.6793650793650794,315,214
